pollutant,mortality,pearson_r,pearson_p,spearman_rho,spearman_p,n,significant
PM25,crude_rate,0.183,0.011194947936221444,0.162,0.025199093780356445,192,True
PM25,age_standardized_rate,0.336,1.9116494234649744e-06,0.289,4.872861041102927e-05,192,True
PM10,crude_rate,0.052,0.4743789007461032,0.041,0.5695096732387502,192,False
PM10,age_standardized_rate,0.211,0.0032934151873717857,0.172,0.017101464989392103,192,True
O3,crude_rate,-0.38,5.4113530872472046e-08,-0.343,1.1214216157013434e-06,192,True
O3,age_standardized_rate,-0.299,2.5051922115879037e-05,-0.276,0.00010959959370685022,192,True
NO2,crude_rate,0.338,1.6169971410869526e-06,0.317,7.4464659985360426e-06,192,True
NO2,age_standardized_rate,0.425,8.311783821520185e-10,0.387,2.9199380831271697e-08,192,True
SO2,crude_rate,0.029,0.691306719498934,0.061,0.4040945227782957,192,False
SO2,age_standardized_rate,0.305,1.675209658357681e-05,0.279,8.954246529294906e-05,192,True
CO,crude_rate,0.155,0.031649485589277424,0.122,0.09178831794964484,192,True
CO,age_standardized_rate,-0.025,0.7358342773097669,-0.008,0.9157963682721192,192,False
